term_name,field_code,field_authority_link
No linguistic content | Not applicable,zxx,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/zxx
Filipino | Pilipino,fil,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/fil
Chichewa | Chewa | Nyanja,nya,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/nya
Nepal Bhasa | Newari,new,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/new
Romanian | Moldavian | Moldovan,ron,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/ron
Mi'kmaq | Micmac,mic,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/mic
Catalan | Valencian,cat,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/cat
Beja | Bedawiyet,bej,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/bej
Pampanga | Kapampangan,pam,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/pam
Spanish | Castilian,spa,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/spa
Bini | Edo,bin,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/bin
Classical Newari | Old Newari | Classical Nepal Bhasa,nwc,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/nwc
Panjabi | Punjabi,pan,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/pan
"Provençal, Old (to 1500) | Occitan, Old (to 1500)",pro,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/pro
Limburgan | Limburger | Limburgish,lim,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/lim
Luxembourgish | Letzeburgesch,ltz,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/ltz
"Ndebele, North | North Ndebele",nde,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/nde
Gaelic | Scottish Gaelic,gla,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/gla
Khotanese | Sakan,kho,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/kho
Blissymbols | Blissymbolics | Bliss,zbl,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/zbl
Dutch | Flemish,dut,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/dut
Asturian | Bable | Leonese | Asturleonese,ast,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/ast
Zhuang | Chuang,zha,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/zha
"Ndebele, South | South Ndebele",nbl,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/nbl
Church Slavic | Old Slavonic | Church Slavonic | Old Bulgarian | Old Church Slavonic,chu,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/chu
"Low German | Low Saxon | German, Low | Saxon, Low",nds,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/nds
Kikuyu | Gikuyu,kik,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/kik
Himachali languages | Western Pahari languages,him,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/him
Kalmyk | Oirat,xal,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/xal
Kalaallisut | Greenlandic,kal,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/kal
Rarotongan | Cook Islands Maori,rar,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/rar
Navajo | Navaho,nav,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/nav
Kuanyama | Kwanyama,kua,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/kua
Crimean Tatar | Crimean Turkish,crh,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/crh
Interlingue | Occidental,ile,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/ile
Pedi | Sepedi | Northern Sotho,nso,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/nso
Sichuan Yi | Nuosu,iii,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/iii
Official Aramaic (700-300 BCE) | Imperial Aramaic (700-300 BCE),arc,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/arc
Kachin | Jingpho,kac,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/kac
Mapudungun | Mapuche,arn,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/arn
Uighur | Uyghur,uig,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/uig
Kirghiz | Kyrgyz,kir,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/kir
Hmong | Mong,hmn,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/hmn
Pushto | Pashto,pus,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/pus
Swiss German | Alemannic | Alsatian,gsw,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/gsw
Klingon | tlhIngan-Hol,tlh,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/tlh
"Norwegian Nynorsk | Nynorsk, Norwegian",nno,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/nno
"Bokmål, Norwegian | Norwegian Bokmål",nob,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/nob
Blin | Bilin,byn,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/byn
Chipewyan | Dene Suline,chp,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/chp
Aromanian | Arumanian | Macedo-Romanian,rup,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/rup
Haitian | Haitian Creole,hat,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/hat
Wolaitta | Wolaytta,wal,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/wal
Adyghe | Adygei,ady,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/ady
Ossetian | Ossetic,oss,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/oss
Divehi | Dhivehi | Maldivian,div,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/div
Zaza | Dimili | Dimli | Kirdki | Kirmanjki | Zazaki,zza,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/zza
Sinhala | Sinhalese,sin,iso639-2b%%http://id.loc.gov/vocabulary/iso639-2/sin
